,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1397174619619004421,1397174619619004416,2021-05-25 14:56:02 ora legale Europa occidentale,2021-05-25,14:56:02,200,17565514,shondarhimes,shonda rhimes,,We Stand in Solidarity With Nikole Hannah-Jones  https://t.co/W2iAhOae1A via @TheRoot,en,"[{'screen_name': 'theroot', 'name': 'the root', 'id': '23995748'}]",['https://www.theroot.com/we-stand-in-solidarity-with-nikole-hannah-jones-1846956586?utm_medium=sharefromsite&utm_source=theroot_twitter'],[],5,54,345,[],[],https://twitter.com/shondarhimes/status/1397174619619004421,False,,0,,,,,,,,[],,,,
1,1396994484517445636,1396994484517445632,2021-05-25 03:00:14 ora legale Europa occidentale,2021-05-25,03:00:14,200,17565514,shondarhimes,shonda rhimes,,"Another day, another shoot! #bts  https://t.co/ymLV89GaO0",en,[],[],['https://pbs.twimg.com/media/E2MfEuKXEAMfzmy.jpg'],32,23,1595,['bts'],[],https://twitter.com/shondarhimes/status/1396994484517445636,False,,1,https://pbs.twimg.com/media/E2MfEuKXEAMfzmy.jpg,,,,,,,[],,,,
0,1398353594420711429,1398353594420711424,2021-05-28 21:00:51 ora legale Europa occidentale,2021-05-28,21:00:51,200,17565514,shondarhimes,shonda rhimes,,Friday mood courtesy of @SyncLadies  x @OfficialDADance 👏🏾  https://t.co/q9N9oLz4M1,en,"[{'screen_name': 'syncladies', 'name': 'syncopated ladies', 'id': '2243031367'}, {'screen_name': 'officialdadance', 'name': 'debbie allen dance academy', 'id': '2284360292'}]",[],[],10,24,310,[],[],https://twitter.com/shondarhimes/status/1398353594420711429,False,,1,https://pbs.twimg.com/media/E2fzLiBXwAIkaMD.jpg,,,,,,,[],,,,
1,1398321264087998464,1398321264087998464,2021-05-28 18:52:23 ora legale Europa occidentale,2021-05-28,18:52:23,200,17565514,shondarhimes,shonda rhimes,,".@BeersBetsy and I are talking the craziness of developing @bridgerton through the pandemic, our partnership through the years and so much more! Take a listen, people.   https://t.co/lKKKDVbGeg  https://t.co/HJOZAQU9cC",en,"[{'screen_name': 'beersbetsy', 'name': 'betsy beers', 'id': '1020974935'}, {'screen_name': 'bridgerton', 'name': 'bridgerton', 'id': '1232061287301074945'}]",['https://podcasts.apple.com/us/podcast/shonda-rhimes-betsy-beers-on-what-makes-partnerships/id1551820452?i=1000523349129'],"['https://pbs.twimg.com/media/E2fUWkgXIAIAbsf.jpg', 'https://pbs.twimg.com/media/E2fUY6KXEAMTGnI.jpg', 'https://pbs.twimg.com/media/E2fUY6QWYAMhbq4.jpg']",10,26,400,[],[],https://twitter.com/shondarhimes/status/1398321264087998464,False,,1,https://pbs.twimg.com/media/E2fUWkgXIAIAbsf.jpg,,,,,,,[],,,,
2,1398263699861815297,1398263699861815296,2021-05-28 15:03:39 ora legale Europa occidentale,2021-05-28,15:03:39,200,17565514,shondarhimes,shonda rhimes,,Welcoming another Bridgerton to the bunch!🐝❤️,en,[],[],[],30,95,2181,[],[],https://twitter.com/shondarhimes/status/1398263699861815297,False,https://twitter.com/shondaland/status/1398262968203190277,0,,,,,,,,[],,,,
3,1398066567158587395,1398066567158587392,2021-05-28 02:00:19 ora legale Europa occidentale,2021-05-28,02:00:19,200,17565514,shondarhimes,shonda rhimes,,"The ""perfect moment"" to go after your goals doesn't exist. What are you waiting for? Start TODAY. #ThursdayGems  https://t.co/ruPmnAEEYW",en,[],[],['https://pbs.twimg.com/media/E2buIinXwAIOinn.jpg'],13,136,747,['thursdaygems'],[],https://twitter.com/shondarhimes/status/1398066567158587395,False,,1,https://pbs.twimg.com/media/E2buIinXwAIOinn.jpg,,,,,,,[],,,,
0,1400572582609313794,1400572582609313792,2021-06-03 23:58:19 ora legale Europa occidentale,2021-06-03,23:58:19,200,17565514,shondarhimes,shonda rhimes,,Growth doesn’t occur when you’re comfortable. #ThursdayThoughts #repost  https://t.co/ascEIDXfAq,en,[],[],['https://pbs.twimg.com/media/E2_VVwqVIAILU1f.jpg'],13,301,1455,"['thursdaythoughts', 'repost']",[],https://twitter.com/shondarhimes/status/1400572582609313794,False,,1,https://pbs.twimg.com/media/E2_VVwqVIAILU1f.jpg,,,,,,,[],,,,
0,1403109813203132422,1403109813203132416,2021-06-11 00:00:22 ora legale Europa occidentale,2021-06-11,00:00:22,200,17565514,shondarhimes,shonda rhimes,,"Okay. Now, I'm in the mood for summer! #tbt  https://t.co/jg1oa1qer1",en,[],[],['https://pbs.twimg.com/media/E3jY8HLXIAsCHAo.jpg'],58,68,3011,['tbt'],[],https://twitter.com/shondarhimes/status/1403109813203132422,False,,1,https://pbs.twimg.com/media/E3jY8HLXIAsCHAo.jpg,,,,,,,[],,,,
1,1403082067223584768,1403079856217198592,2021-06-10 22:10:07 ora legale Europa occidentale,2021-06-10,22:10:07,200,17565514,shondarhimes,shonda rhimes,,Go to  https://t.co/jRsiyXybIt! #CallOutYourSenators #ForThePeopleAct,en,[],['http://go2vote.org'],[],4,11,51,"['calloutyoursenators', 'forthepeopleact']",[],https://twitter.com/shondarhimes/status/1403082067223584768,False,,0,,,,,,,,[],,,,
2,1403079856217198593,1403079856217198592,2021-06-10 22:01:20 ora legale Europa occidentale,2021-06-10,22:01:20,200,17565514,shondarhimes,shonda rhimes,,"We all have the right to have our voices be heard. No matter our color, party, or zip code, our voices and our votes count. #CallOutYourSenators and urge them to vote YES on the #ForThePeopleAct  https://t.co/MR4s7aJnq1",en,[],[],['https://pbs.twimg.com/media/E3i6Q1ZVcAEGjG1.png'],7,35,201,"['calloutyoursenators', 'forthepeopleact']",[],https://twitter.com/shondarhimes/status/1403079856217198593,False,,1,https://pbs.twimg.com/media/E3i6Q1ZVcAEGjG1.png,,,,,,,[],,,,
0,1403487273182707717,1403487273182707712,2021-06-12 01:00:16 ora legale Europa occidentale,2021-06-12,01:00:16,200,17565514,shondarhimes,shonda rhimes,,Love this! #repost from @Refinery29UK  https://t.co/ezUlf3736r,en,"[{'screen_name': 'refinery29uk', 'name': 'refinery29 uk', 'id': '3893557647'}]",[],['https://pbs.twimg.com/media/E3owPHHXEAAX4dk.jpg'],21,261,1632,['repost'],[],https://twitter.com/shondarhimes/status/1403487273182707717,False,,1,https://pbs.twimg.com/media/E3owPHHXEAAX4dk.jpg,,,,,,,[],,,,
1,1403413061810024449,1403413061810024448,2021-06-11 20:05:22 ora legale Europa occidentale,2021-06-11,20:05:22,200,17565514,shondarhimes,shonda rhimes,,Morning pick-me-up. ❤️  https://t.co/4BGMSpuXOz,en,[],[],"['https://pbs.twimg.com/media/E3nsvNZUYAQXt_O.jpg', 'https://pbs.twimg.com/media/E3nsvOnUYAgzCxc.jpg']",18,21,862,[],[],https://twitter.com/shondarhimes/status/1403413061810024449,False,,1,https://pbs.twimg.com/media/E3nsvNZUYAQXt_O.jpg,,,,,,,[],,,,
0,1404891727387840517,1404891727387840512,2021-06-15 22:01:04 ora legale Europa occidentale,2021-06-15,22:01:04,200,17565514,shondarhimes,shonda rhimes,,Small wins are still wins. #repost [via IG: thegoodquote]  https://t.co/304i9GApI4,en,[],[],['https://pbs.twimg.com/media/E38tlJ1XwAI1HVk.jpg'],17,246,1440,['repost'],[],https://twitter.com/shondarhimes/status/1404891727387840517,False,,1,https://pbs.twimg.com/media/E38tlJ1XwAI1HVk.jpg,,,,,,,[],,,,
0,1409961482893156352,1409961482893156352,2021-06-29 21:46:27 ora legale Europa occidentale,2021-06-29,21:46:27,200,17565514,shondarhimes,shonda rhimes,,"Them: ""Has it been harder to do what you've done being a woman or being a person of color?""   Me: ""I haven't been anything but a woman and a person of color. That's just who I am. I don't consider them barriers or burdens, I consider them assets.""  #tuesdaythoughts",en,[],[],[],37,196,1947,['tuesdaythoughts'],[],https://twitter.com/shondarhimes/status/1409961482893156352,False,,0,,,,,,,,[],,,,
1,1412826960045223944,1412826960045223936,2021-07-07 19:32:50 ora legale Europa occidentale,2021-07-07,19:32:50,200,17565514,shondarhimes,shonda rhimes,,Loved this episode. Love them even more. ❤️,en,[],[],[],3,8,209,[],[],https://twitter.com/shondarhimes/status/1412826960045223944,False,https://twitter.com/shondaland/status/1412820629250666496,0,,,,,,,,[],,,,
0,1413540488767016961,1413540488767016960,2021-07-09 18:48:09 ora legale Europa occidentale,2021-07-09,18:48:09,200,17565514,shondarhimes,shonda rhimes,,"“The burden of working for racial justice is laid on the very people bearing the brunt of the injustice, and not the powerful people who maintain it. I say to you: I refuse.” - @nhannahjones BRAVO. 👏🏾 👏🏾 👏🏾",en,"[{'screen_name': 'nhannahjones', 'name': 'ida bae wells', 'id': '25598396'}]",[],[],8,133,760,[],[],https://twitter.com/shondarhimes/status/1413540488767016961,False,,0,,,,,,,,[],,,,
1,1413539774770601985,1413539774770601984,2021-07-09 18:45:19 ora legale Europa occidentale,2021-07-09,18:45:19,200,17565514,shondarhimes,shonda rhimes,,"“For too long, powerful people have expected the people they have mistreated and marginalized to sacrifice themselves to make things whole.” @nhannahjones",en,"[{'screen_name': 'nhannahjones', 'name': 'ida bae wells', 'id': '25598396'}]",[],[],5,108,591,[],[],https://twitter.com/shondarhimes/status/1413539774770601985,False,,0,,,,,,,,[],,,,
2,1413468628322713600,1413468628322713600,2021-07-09 14:02:36 ora legale Europa occidentale,2021-07-09,14:02:36,200,17565514,shondarhimes,shonda rhimes,,"Oh, @ScrippsBee: always THE platform to showcase a joyous fascinating young speller #ZailaAvantgarde who  represents for the brilliant and brainy crowd.  Plus, she is more interesting than all of us put together!",en,"[{'screen_name': 'scrippsbee', 'name': 'scripps national spelling bee', 'id': '24189067'}]",[],[],8,68,784,['zailaavantgarde'],[],https://twitter.com/shondarhimes/status/1413468628322713600,False,https://twitter.com/NPR/status/1413339232718970883,0,,,,,,,,[],,,,
0,1416410016555356163,1416410016555356160,2021-07-17 16:50:38 ora legale Europa occidentale,2021-07-17,16:50:38,200,17565514,shondarhimes,shonda rhimes,,"I may be late to the #girls5eva party but now that I am here, OMG I AM NEVER LEAVING. 👏🏾👏🏾👏🏾 @SaraBareilles @ReneeGoldsberry @BusyPhilipps @perlapell",en,"[{'screen_name': 'sarabareilles', 'name': 'sara bareilles', 'id': '6211972'}, {'screen_name': 'reneegoldsberry', 'name': 'renéeelisegoldsberry', 'id': '163724029'}, {'screen_name': 'busyphilipps', 'name': 'busy philipps', 'id': '20344826'}, {'screen_name': 'perlapell', 'name': 'paula pell', 'id': '121849647'}]",[],[],17,74,1450,['girls5eva'],[],https://twitter.com/shondarhimes/status/1416410016555356163,False,,0,,,,,,,,[],,,,
0,1418247746910367749,1418247746910367744,2021-07-22 18:33:07 ora legale Europa occidentale,2021-07-22,18:33:07,200,17565514,shondarhimes,shonda rhimes,,In good company. #ThrowbackThursday  https://t.co/HCgPVo98Yq,en,[],[],['https://pbs.twimg.com/media/E66gSRyWUAAL7Dg.jpg'],25,114,1357,['throwbackthursday'],[],https://twitter.com/shondarhimes/status/1418247746910367749,False,,1,https://pbs.twimg.com/media/E66gSRyWUAAL7Dg.jpg,,,,,,,[],,,,
1,1418653538239057926,1418653538239057920,2021-07-23 21:25:35 ora legale Europa occidentale,2021-07-23,21:25:35,200,17565514,shondarhimes,shonda rhimes,,ALL the friday feels. 😌❤️,en,[],[],[],14,43,774,[],[],https://twitter.com/shondarhimes/status/1418653538239057926,False,https://twitter.com/shondaland/status/1418650693041221636,0,,,,,,,,[],,,,
2,1418623098249781249,1418623098249781248,2021-07-23 19:24:38 ora legale Europa occidentale,2021-07-23,19:24:38,200,17565514,shondarhimes,shonda rhimes,,Be brave. Be amazing. Be worthy. Be heard. 👊🏾,en,[],[],[],73,1102,5605,[],[],https://twitter.com/shondarhimes/status/1418623098249781249,False,,0,,,,,,,,[],,,,
1,1420800272088109060,1420800272088109056,2021-07-29 19:35:56 ora legale Europa occidentale,2021-07-29,19:35:56,200,17565514,shondarhimes,shonda rhimes,,"""Nothing About My Journey to Become an Adoptive Dad Was Simple"" | Fatherly  https://t.co/F8Gak3H0hM",en,[],['https://www.fatherly.com/love-money/nothing-along-my-journey-to-become-an-adoptive-dad-was-as-simple-as-black-or-white/'],[],2,13,121,[],[],https://twitter.com/shondarhimes/status/1420800272088109060,False,,0,,,,,,,,[],,,,
0,1422313108559732736,1422313108559732736,2021-08-02 23:47:25 ora legale Europa occidentale,2021-08-02,23:47:25,200,17565514,shondarhimes,shonda rhimes,,"Happy birthday to the incomparable, iconic James Baldwin. ❤️  https://t.co/xZEuZ0Izot",en,[],[],[],14,136,907,[],[],https://twitter.com/shondarhimes/status/1422313108559732736,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1422313076271947776/pu/img/cu5KdRgmmK33GMAT.jpg,,,,,,,[],,,,
1,1422278664746536962,1422278664746536960,2021-08-02 21:30:32 ora legale Europa occidentale,2021-08-02,21:30:32,200,17565514,shondarhimes,shonda rhimes,,"Go, Reese! 👏🏾🎉",en,[],[],[],1,8,226,[],[],https://twitter.com/shondarhimes/status/1422278664746536962,False,https://twitter.com/ReeseW/status/1422243575480324106,0,,,,,,,,[],,,,
