,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
4,1312569124267216896,1312569124267216896,2020-10-04 03:44:00 ora legale Europa occidentale,2020-10-04,03:44:00,200,151967576,attorneycrump,Ben Crump,,"Racism is STILL alive across America, &amp; deeply rooted in much of the SOUTH. Louisiana has sprouted vicious &amp; visible examples of systemic racism. #LafayetteLA marched PEACEFULLY for #TrayfordPellerin as Louisiana officials CONTINUE to cover up MURDERS!  https://t.co/YPGFVfSmUc",en,[],['https://www.bigeasymagazine.com/2020/09/24/roux-racism-and-reality/'],[],29,220,817,"['lafayettela', 'trayfordpellerin']",[],https://twitter.com/AttorneyCrump/status/1312569124267216896,False,,0,,,,,,,,[],,,,
0,1313256906295775234,1313256906295775232,2020-10-06 01:17:00 ora legale Europa occidentale,2020-10-06,01:17:00,200,151967576,attorneycrump,Ben Crump,,Anyone surprised by this?  https://t.co/8i9w98CLCQ,en,[],['https://www.bet.com/news/national/2020/10/05/ahmaud-arbey-racist-social-media.html'],[],281,730,2678,[],[],https://twitter.com/AttorneyCrump/status/1313256906295775234,False,,0,,,,,,,,[],,,,
1,1313242529387679752,1313242529387679744,2020-10-06 00:19:52 ora legale Europa occidentale,2020-10-06,00:19:52,200,151967576,attorneycrump,Ben Crump,,This is HUGE! ✊🏾,en,[],[],[],24,488,2825,[],[],https://twitter.com/AttorneyCrump/status/1313242529387679752,False,https://twitter.com/sfchronicle/status/1313239524718280711,0,,,,,,,,[],,,,
2,1313228213452242950,1313228213452242944,2020-10-05 23:22:59 ora legale Europa occidentale,2020-10-05,23:22:59,200,151967576,attorneycrump,Ben Crump,,Police hit Tyris Johnson with 5 bullets in the arm &amp; back. They said he was carrying a weapon BUT nothing was found at the scene! Police need to STOP investigating officer-involved shootings by acting first &amp; asking questions later! What happened to INNOCENT until proven guilty?  https://t.co/YKrmu88VPr,en,[],[],[],26,238,596,[],[],https://twitter.com/AttorneyCrump/status/1313228213452242950,False,,1,https://pbs.twimg.com/amplify_video_thumb/1313225440585224192/img/eflki_NX7croMdsc.jpg,,,,,,,[],,,,
3,1313204192891359234,1313204084862865408,2020-10-05 21:47:32 ora legale Europa occidentale,2020-10-05,21:47:32,200,151967576,attorneycrump,Ben Crump,,"Adding insult to injury... Edward Murray was given a $160K bond after fleeing the scene AND being previously convicted of aggravated sexual assault on a child! If he were a Black man with the same record, he would have absolutely been DENIED bail!!",en,[],[],[],38,289,1188,[],[],https://twitter.com/AttorneyCrump/status/1313204192891359234,False,,0,,,,,,,,[],,,,
4,1313204084862865410,1313204084862865408,2020-10-05 21:47:06 ora legale Europa occidentale,2020-10-05,21:47:06,200,151967576,attorneycrump,Ben Crump,,Edward Murray TERRORIZED Antonio Robinson's family with constant racist slurs for over a year! Then Murray FATALLY SHOT Antonio 5x in his chest... in an unprovoked attack in front of his 9yo son who was forced to try to stop his father's bleeding! THIS was racial terrorism!!  https://t.co/xWhcm4tEX9,en,[],[],['https://pbs.twimg.com/media/EjlwHXwWAAIJaTd.jpg'],38,813,1957,[],[],https://twitter.com/AttorneyCrump/status/1313204084862865410,False,,1,https://pbs.twimg.com/media/EjlwHXwWAAIJaTd.jpg,,,,,,,[],,,,
5,1313177575393550336,1313177382593785856,2020-10-05 20:01:46 ora legale Europa occidentale,2020-10-05,20:01:46,200,151967576,attorneycrump,Ben Crump,,Sign your name and demand AG Cameron appoint a new INDEPENDENT special prosecutor on Breonna Taylor’s case ASAP!  https://t.co/HMwpz8qs9j,en,[],['https://act.bencrump.com/a/breonna-taylor?utm_source=t.co&utm_medium=referral&utm_campaign=social_organic&utm_content=100520'],[],14,168,460,[],[],https://twitter.com/AttorneyCrump/status/1313177575393550336,False,,0,,,,,,,,[],,,,
6,1313177382593785856,1313177382593785856,2020-10-05 20:01:00 ora legale Europa occidentale,2020-10-05,20:01:00,200,151967576,attorneycrump,Ben Crump,,"The grand jury audio PROVES that Breonna Taylor did not have a voice in her proceedings!! The grand jury wanted to hear MORE EVIDENCE, but @KYOAG denied Bre justice by not presenting a complete account of what happened.  https://t.co/l5ZDL4R5Sk",en,"[{'screen_name': 'kyoag', 'name': 'attorney general daniel cameron', 'id': '1205238738097455104'}]",[],[],23,448,1058,[],[],https://twitter.com/AttorneyCrump/status/1313177382593785856,False,,1,https://pbs.twimg.com/amplify_video_thumb/1313132616963555328/img/tCDALtDfxkU_ZJv5.jpg,,,,,,,[],,,,
7,1313165080893284357,1313165080893284352,2020-10-05 19:12:07 ora legale Europa occidentale,2020-10-05,19:12:07,200,151967576,attorneycrump,Ben Crump,,"Jonathan Price was a “pillar of the community” and was simply trying to help those in need... but was assaulted, tased, shot and KILLED on Saturday by Wolfe City police. When will open season end on our Black brothers and sisters?? We demand #JusticeForJonathan!!  https://t.co/fADtANn3cN",en,[],[],[],109,912,1779,['justiceforjonathan'],[],https://twitter.com/AttorneyCrump/status/1313165080893284357,False,,1,https://pbs.twimg.com/amplify_video_thumb/1313155324711493632/img/kUuLCjxl5ofmipFH.jpg,,,,,,,[],,,,
8,1313105333720670208,1313105333720670208,2020-10-05 15:14:42 ora legale Europa occidentale,2020-10-05,15:14:42,200,151967576,attorneycrump,Ben Crump,,Today is the last day to register to vote in the state of Florida. Make sure you register or postmark your registration on today! #BeAnOctoberVoter #GOTV  https://t.co/B4hn4gy6A1,en,[],[],['https://pbs.twimg.com/media/EjkWVt8WoAEpTZY.jpg'],5,191,332,"['beanoctobervoter', 'gotv']",[],https://twitter.com/AttorneyCrump/status/1313105333720670208,False,,1,https://pbs.twimg.com/media/EjkWVt8WoAEpTZY.jpg,,,,,,,[],,,,
